,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0.0,334,0.7,0.5,0.3,5,5
1,1,3,3,0,101,59,42,0.14629693027501997,334,0.7,0.5,0.3,5,5
2,2,11,11,0,101,59,42,0.1702613260298984,334,0.7,0.5,0.3,5,5
3,3,12,12,0,43,32,11,0.1668758796454791,334,0.7,0.5,0.3,5,5
4,4,8,8,0,28,16,12,0.16185476815398073,334,0.7,0.5,0.3,5,5
5,5,6,6,0,38,25,13,0.1937312183803112,334,0.7,0.5,0.3,5,5
6,6,4,4,0,21,14,7,0.1953288447639697,334,0.7,0.5,0.35,5,5
7,7,4,4,0,101,59,42,0.171516603902773,334,0.7,0.5,0.35,5,5
8,8,1,1,0,102,60,42,0.13180417665183153,334,0.7,0.5,0.35,5,5
9,9,1,1,0,43,32,11,0.15379055878884704,334,0.7,0.5,0.35,5,5
10,10,2,2,0,28,16,12,0.18296625965232605,334,0.7,0.5,0.35,5,5
11,11,2,2,0,0,0,0,0.18296625965232605,334,0.7,0.5,0.35,5,6
12,12,1,1,0,39,26,13,0.15881167028034543,334,0.7,0.5,0.35,5,6
13,13,1,1,0,21,14,7,0.19084027540035758,334,0.7,0.5,0.35,5,6
14,14,2,2,0,100,58,42,0.18224352390733767,334,0.7,0.5,0.35,5,6
15,15,1,1,0,103,61,42,0.1555783787896078,334,0.7,0.5,0.35,5,6
16,16,0,0,0,71,48,23,0.14127581878352163,334,0.7,0.5,0.35,5,5
17,17,1,1,0,0,0,0,0.14127581878352163,334,0.7,0.5,0.35,5,5
18,18,0,0,0,39,26,13,0.13321160941838792,334,0.7,0.5,0.35,5,5
19,19,0,0,0,21,14,7,0.14523184601924757,334,0.7,0.5,0.35,5,5
20,20,0,0,0,100,58,42,0.15006276389364373,334,0.7,0.5,0.35,5,5
21,21,15,15,0,99,57,42,0.1861995511430636,334,0.7,0.5,0.3,5,5
22,22,22,21,1,72,49,23,0.21929324051884816,334,0.7,0.5,0.3,5,5
23,23,14,13,1,3,3,0,0.21446232264445203,334,0.7,0.5,0.3,5,5
24,24,9,9,0,38,25,13,0.21088668264293053,334,0.7,0.5,0.3,5,5
25,25,8,8,0,22,15,7,0.2122941154094869,334,0.7,0.5,0.3,5,5
26,26,0,0,0,100,58,42,0.2105062954087261,334,0.7,0.5,0.3,6,5
27,27,1,1,0,99,57,42,0.18460192475940507,334,0.7,0.5,0.3,6,5
28,28,1,1,0,71,48,23,0.20677850051352276,334,0.7,0.5,0.3,6,5
29,29,0,0,0,4,4,0,0.2067785005135228,334,0.7,0.5,0.3,6,5
30,30,1,1,0,38,25,13,0.22214614477538136,334,0.7,0.5,0.3,6,5
31,31,0,0,0,22,15,7,0.2094412111529537,334,0.7,0.55,0.3,6,5
32,32,0,0,0,100,58,42,0.20963140477005587,334,0.7,0.55,0.3,6,5
33,33,0,0,0,99,57,42,0.1500627638936437,334,0.7,0.55,0.3,6,5
34,34,0,0,0,71,48,23,0.11514321579367798,334,0.7,0.55,0.3,6,5
35,35,3,3,0,4,4,0,0.11997413366807408,334,0.7,0.55,0.3,6,5
36,36,1,1,0,0,0,0,0.11997413366807408,334,0.7,0.55,0.3,6,6
37,37,2,2,0,38,25,13,0.11103503366427021,334,0.7,0.55,0.3,6,6
38,38,1,1,0,22,15,7,0.09528700216820721,334,0.7,0.55,0.3,6,6
39,39,0,0,0,100,58,42,0.1287610787781962,334,0.7,0.55,0.3,6,6
40,40,1,1,0,98,56,42,0.10996994940849786,334,0.7,0.55,0.3,6,6
41,41,0,0,0,76,53,23,0.13823272090988625,334,0.7,0.55,0.3,6,5
42,42,0,0,0,0,0,0,0.13823272090988625,334,0.7,0.55,0.3,6,5
43,43,0,0,0,38,25,13,0.1761573281600669,334,0.7,0.55,0.3,6,5
44,44,1,1,0,22,15,7,0.18509642816387079,334,0.7,0.55,0.3,6,5
45,45,1,1,0,100,58,42,0.18585720263227967,334,0.7,0.55,0.3,6,5
46,46,0,0,0,101,57,44,0.13214652516261557,334,0.7,0.55,0.3,6,4
47,47,0,0,0,73,52,21,0.10799193579063486,334,0.7,0.55,0.3,6,4
48,48,0,0,0,38,25,13,0.14538400091292933,334,0.7,0.55,0.3,6,4
49,49,0,0,0,22,15,7,0.14538400091292936,334,0.7,0.55,0.3,6,4
50,50,1,1,0,100,58,42,0.14591654304081558,334,0.7,0.55,0.3,6,4
51,51,21,21,0,97,53,44,0.13948799878276083,334,0.6499999999999999,0.55,0.3,6,4
52,52,31,31,0,66,45,21,0.12678306516033322,334,0.6499999999999999,0.55,0.3,6,4
53,53,49,49,0,36,23,13,0.13823272090988625,334,0.6499999999999999,0.55,0.3,6,4
54,54,45,45,0,20,13,7,0.13161398303472935,334,0.6499999999999999,0.55,0.3,6,4
55,55,49,49,0,94,52,42,0.11016014302560005,334,0.6499999999999999,0.55,0.3,6,4
56,56,16,16,0,101,61,40,0.10939936855719122,334,0.6499999999999999,0.55,0.3,7,4
57,57,15,15,0,81,56,25,0.15702385027958463,334,0.6499999999999999,0.55,0.3,7,4
58,58,28,28,0,35,22,13,0.1688538932633421,334,0.6499999999999999,0.55,0.3,7,4
59,59,31,31,0,18,11,7,0.15759443113089125,334,0.6499999999999999,0.55,0.3,7,4
60,60,30,30,0,91,49,42,0.187264635398836,334,0.6499999999999999,0.55,0.3,7,4
61,61,6,6,0,101,62,39,0.18562897029175704,334,0.6499999999999999,0.55,0.3,8,4
