Step,AgentID,x,y,Agent type,Issuetree
0,0,8,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.6, 0.522], [0.473, 0.95, 0.478], [0.089, 0.65, 0.315], [0.069, 0.35, 0.242], [0.417, 0.95, 0.314], [0.55, 0.95, 0.129], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,1,7,2,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.6, 0.522], [0.473, 0.95, 0.478], [0.089, 0.65, 0.315], [0.069, 0.35, 0.242], [0.417, 0.95, 0.314], [0.55, 0.95, 0.129], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,2,7,4,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.6, 0.522], [0.473, 0.95, 0.478], [0.089, 0.65, 0.315], [0.069, 0.35, 0.242], [0.417, 0.95, 0.314], [0.55, 0.95, 0.129], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,3,3,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.6, 0.522], [0.473, 0.95, 0.478], [0.089, 0.65, 0.315], [0.069, 0.35, 0.242], [0.417, 0.95, 0.314], [0.55, 0.95, 0.129], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,4,8,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.6, 0.522], [0.473, 0.95, 0.478], [0.089, 0.65, 0.315], [0.069, 0.35, 0.242], [0.417, 0.95, 0.314], [0.55, 0.95, 0.129], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,5,5,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.6, 0.522], [0.473, 0.95, 0.478], [0.089, 0.65, 0.315], [0.069, 0.35, 0.242], [0.417, 0.95, 0.314], [0.55, 0.95, 0.129], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,6,3,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.8, 0.964], [0.473, 0.5, 0.036], [0.089, 0.0, 0.235], [0.069, 0.0, 0.254], [0.417, 0.95, 0.405], [0.55, 0.85, 0.106], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,7,9,6,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.8, 0.964], [0.473, 0.5, 0.036], [0.089, 0.0, 0.235], [0.069, 0.0, 0.254], [0.417, 0.95, 0.405], [0.55, 0.85, 0.106], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,8,2,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.8, 0.964], [0.473, 0.5, 0.036], [0.089, 0.0, 0.235], [0.069, 0.0, 0.254], [0.417, 0.95, 0.405], [0.55, 0.85, 0.106], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,9,4,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.373, 0.05, 1.0], [0.08, 0.8, 0.964], [0.473, 0.5, 0.036], [0.089, 0.0, 0.235], [0.069, 0.0, 0.254], [0.417, 0.95, 0.405], [0.55, 0.85, 0.106], [0.2], [0.7], [0.8], [0.9], [0.85], [0], [0], [0], [0], [-0.5]]"
0,100,6,5,<class 'model_SM_agents.ElectorateAgent'>,
0,101,2,7,<class 'model_SM_agents.ElectorateAgent'>,
0,50,5,5,<class 'model_SM_agents.TruthAgent'>,
