,step,AS_PF,agent_attributes
0,0,"[None, None, None]","[[0, 'policymaker', 0, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [1, 'policymaker', 0, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [2, 'policyentrepreneur', 0, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [3, 'policyentrepreneur', 0, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [4, 'externalparty', 0, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [5, 'policymaker', 1, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [6, 'policyentrepreneur', 1, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [7, 'policyentrepreneur', 1, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [8, 'externalparty', 1, None, None, None, None, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]]]"
1,1,"[1, 1, 7]","[[0, 'policymaker', 0, 1, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [1, 'policymaker', 0, 1, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [2, 'policyentrepreneur', 0, 1, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [3, 'policyentrepreneur', 0, 1, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [4, 'externalparty', 0, 1, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [5, 'policymaker', 1, 0, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [6, 'policyentrepreneur', 1, 0, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [7, 'policyentrepreneur', 1, 0, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [8, 'externalparty', 1, 0, 1, 2, 7, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]]]"
2,2,"[1, 1, 6]","[[0, 'policymaker', 0, 1, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [1, 'policymaker', 0, 1, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [2, 'policyentrepreneur', 0, 1, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [3, 'policyentrepreneur', 0, 1, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [4, 'externalparty', 0, 1, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.6, 0.938], [1.0, 0.95, 0.062], [0.0, 0.65, 0.469], [0.0, 0.35, 0.355], [1.0, 0.95, 0.111], [1.0, 0.95, 0.065], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.086], [-0.879, 11.667, -0.907, 22.4, 0.086], [-0.879, 1, -0.908, 1, 0.086], [-0.88, 11.667, -0.907, 1, 0.086], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [5, 'policymaker', 1, 0, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [6, 'policyentrepreneur', 1, 0, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [7, 'policyentrepreneur', 1, 0, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]], [8, 'externalparty', 1, 0, 1, 2, 6, [[0.84, 0.05, 1.0], [0.0, 0.8, 0.657], [1.0, 0.5, 0.343], [0.0, 0.0, 0.382], [0.0, 0.0, 0.382], [1.0, 0.95, 0.129], [1.0, 0.85, 0.108], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]], [[1.0, -1.0, 0.5], [1.821, -1.0, 0.5], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.069], [-0.879, 11.667, -0.907, 22.4, 0.07], [-0.879, 1, -0.908, 1, 0.069], [-0.88, 11.667, -0.907, 1, 0.07], [-0.879, 1, -0.908, 1, 0.143], [-0.878, 1, -0.908, 1, 0.143], [-0.879, 1, -0.908, 1, 0.143]]]]"
