,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0.0,326,0.7,0.5,0.3,5,5
1,1,0,0,0,98,57,41,0.1916012558869702,326,0.7,0.5,0.3,5,5
2,2,0,0,0,98,58,40,0.189010989010989,326,0.7,0.5,0.3,5,5
3,3,1,1,0,52,34,18,0.22511773940345373,326,0.7,0.5,0.3,5,5
4,4,1,0,1,37,22,15,0.16891679748822605,326,0.7,0.5,0.3,5,5
5,5,0,0,0,28,17,11,0.16930926216640507,326,0.7,0.5,0.3,5,5
6,6,0,0,0,13,8,5,0.18461538461538457,326,0.7,0.5,0.35,5,5
7,7,0,0,0,98,57,41,0.15125588697017267,326,0.7,0.5,0.35,5,5
8,8,0,0,0,98,58,40,0.23273155416012556,326,0.7,0.5,0.35,5,5
9,9,4,4,0,49,31,18,0.25078492935635793,326,0.7,0.5,0.35,5,5
10,10,10,10,0,35,20,15,0.22778649921507066,326,0.7,0.5,0.35,5,5
11,11,22,16,6,29,18,11,0.21248037676609105,326,0.7,0.5,0.35,4,5
12,12,23,17,6,15,10,5,0.21279434850863424,326,0.7,0.5,0.35,4,5
13,13,22,13,9,95,55,40,0.22040816326530613,326,0.7,0.5,0.35,4,5
14,14,15,8,7,97,60,37,0.2230769230769231,326,0.7,0.5,0.35,4,5
15,15,12,7,5,49,30,19,0.232967032967033,326,0.7,0.5,0.35,4,5
16,16,11,8,3,2,0,2,0.23516483516483522,326,0.7,0.5,0.35,4,6
17,17,2,2,0,38,22,16,0.1589481946624804,326,0.7,0.5,0.35,4,6
18,18,1,1,0,30,19,11,0.1410518053375196,326,0.7,0.5,0.35,4,6
19,19,0,0,0,15,10,5,0.1488226059654631,326,0.7,0.5,0.35,4,6
20,20,6,4,2,94,55,39,0.2149136577708006,326,0.7,0.5,0.35,4,6
