,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0.0,328,0.7,0.5,0.3,5,5
1,1,3,3,0,99,60,39,0.1467192118226601,328,0.7,0.5,0.3,5,5
2,2,1,1,0,99,63,36,0.20709359605911332,328,0.7,0.5,0.3,5,5
3,3,8,7,1,34,21,13,0.1924334975369458,328,0.7,0.5,0.3,5,5
4,4,13,10,3,40,26,14,0.18254187192118224,328,0.7,0.5,0.3,5,5
5,5,5,5,0,37,21,16,0.157871921182266,328,0.7,0.5,0.3,5,5
6,6,9,8,1,99,61,38,0.2102463054187192,328,0.7,0.5,0.3,5,4
7,7,12,11,1,99,59,40,0.22920197044334972,328,0.7,0.5,0.3,5,4
8,8,4,4,0,51,34,17,0.16839408866995073,328,0.7,0.5,0.3,5,4
9,9,1,1,0,42,28,14,0.16334975369458127,328,0.7,0.5,0.3,5,4
10,10,1,1,0,37,21,16,0.16338916256157632,328,0.7,0.5,0.3,5,4
11,11,1,1,0,99,61,38,0.19353694581280792,328,0.7,0.5,0.3,6,4
12,12,0,0,0,99,59,40,0.15471921182266007,328,0.7,0.5,0.3,6,4
13,13,0,0,0,51,34,17,0.1886108374384236,328,0.7,0.5,0.3,6,4
14,14,2,2,0,42,28,14,0.16642364532019704,328,0.7,0.5,0.3,6,4
15,15,1,1,0,37,21,16,0.18254187192118226,328,0.7,0.5,0.3,6,4
16,16,1,1,0,99,66,33,0.1843546798029557,328,0.7,0.5,0.3,6,3
17,17,2,2,0,99,55,44,0.16043349753694575,328,0.7,0.5,0.3,6,3
18,18,4,4,0,92,60,32,0.17635467980295566,328,0.7,0.5,0.3,6,3
19,19,3,3,0,37,21,16,0.17639408866995074,328,0.7,0.5,0.3,6,3
20,20,0,0,0,99,66,33,0.21576354679802956,328,0.7,0.5,0.3,6,3
