,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0.0,307,0.7,0.5,0.3,5,5
1,1,7,7,0,93,51,42,0.2061743997111392,307,0.7,0.5,0.3,5,5
2,2,3,3,0,88,67,21,0.17539267015706805,307,0.7,0.5,0.3,5,5
3,3,0,0,0,40,24,16,0.21569777938256007,307,0.7,0.5,0.3,5,5
4,4,0,0,0,26,16,10,0.20955948727207077,307,0.7,0.5,0.3,5,5
5,5,0,0,0,32,18,14,0.20184148763314677,307,0.7,0.5,0.3,5,5
6,6,2,2,0,0,0,0,0.20184148763314677,307,0.7,0.5,0.3,5,6
7,7,2,2,0,28,15,13,0.18613468135042427,307,0.7,0.5,0.3,5,6
8,8,2,2,0,93,51,42,0.24616356743094422,307,0.7,0.5,0.3,5,6
9,9,12,12,0,82,61,21,0.20861166275500995,307,0.7,0.5,0.3,5,6
10,10,23,23,0,38,22,16,0.21141000180538,307,0.7,0.5,0.3,5,6
11,11,18,16,2,60,36,24,0.20427875067701753,307,0.7,0.5,0.3,5,5
12,12,7,7,0,5,5,0,0.19380754648853582,307,0.7,0.5,0.3,5,5
13,13,8,8,0,28,15,13,0.1897905759162304,307,0.7,0.5,0.3,5,5
14,14,5,5,0,93,51,42,0.17566347716194258,307,0.7,0.5,0.3,5,5
15,15,3,2,1,83,62,21,0.16857736053439248,307,0.7,0.5,0.3,5,5
16,16,6,6,0,93,54,39,0.1538183787687308,307,0.7,0.5,0.3,5,4
17,17,8,8,0,7,6,1,0.14858277667449,307,0.7,0.5,0.3,5,4
18,18,3,3,0,30,17,13,0.1494854666907384,307,0.7,0.5,0.3,5,4
19,19,6,6,0,92,50,42,0.22156526448817473,307,0.7,0.5,0.3,5,4
20,20,5,5,0,83,62,21,0.19322079797797434,307,0.7,0.5,0.3,5,4
