,step,happy,happytype0,happytype1,movement,movementtype0,movementtype1,evenness,numberOfAgents,homophilyType0,homophilyType1,movementQuota,happyCheckRadius,last_move_quota
0,0,0,0,0,0,0,0,0.0,317,0.7,0.5,0.3,5,5
1,1,3,0,3,96,57,39,0.21509480423541,317,0.7,0.5,0.3,5,5
2,2,0,0,0,96,63,33,0.2131658868915702,317,0.7,0.5,0.3,5,5
3,3,2,0,2,42,20,22,0.20446523844701633,317,0.7,0.5,0.3,5,5
4,4,0,0,0,34,18,16,0.22498563572190758,317,0.7,0.5,0.3,5,5
5,5,1,0,1,31,16,15,0.18767955347615528,317,0.7,0.5,0.3,5,5
6,6,0,0,0,18,12,6,0.15993597636050233,317,0.7,0.5,0.3,6,5
7,7,0,0,0,96,57,39,0.1580070590166625,317,0.7,0.5,0.3,6,5
8,8,2,0,2,96,63,33,0.20659935976360502,317,0.7,0.5,0.3,6,5
9,9,3,0,3,42,20,22,0.15336944923253715,317,0.7,0.5,0.3,6,5
10,10,0,0,0,34,18,16,0.17865057867520318,317,0.7,0.5,0.3,6,5
11,11,2,0,2,30,16,14,0.1836985964048264,317,0.7,0.5,0.3,5,5
12,12,1,0,1,19,12,7,0.16982680784699997,317,0.7,0.5,0.3,5,5
13,13,3,1,2,95,56,39,0.15960765000410407,317,0.7,0.5,0.3,5,5
14,14,1,0,1,96,64,32,0.1933842239185751,317,0.7,0.5,0.3,5,5
15,15,2,0,2,43,20,23,0.19670852827710741,317,0.7,0.5,0.3,5,5
16,16,1,0,1,64,34,30,0.21242715258967415,317,0.7,0.5,0.3,5,4
17,17,3,1,2,19,12,7,0.23618977263399824,317,0.7,0.5,0.3,5,4
18,18,2,1,1,95,56,39,0.1862841664614627,317,0.7,0.5,0.3,5,4
19,19,0,0,0,96,64,32,0.15800705901666254,317,0.7,0.5,0.3,5,4
20,20,2,0,2,43,20,23,0.169826807847,317,0.7,0.5,0.3,5,4
