Step,AgentID,x,y,Agent type,Issuetree
0,0,5,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.6, 0.368], [0.031, 0.95, 0.632], [0.086, 0.65, 0.242], [0.102, 0.35, 0.167], [0.0, 0.95, 0.316], [0.073, 0.95, 0.275], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,1,6,2,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.6, 0.368], [0.031, 0.95, 0.632], [0.086, 0.65, 0.242], [0.102, 0.35, 0.167], [0.0, 0.95, 0.316], [0.073, 0.95, 0.275], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,2,8,2,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.6, 0.368], [0.031, 0.95, 0.632], [0.086, 0.65, 0.242], [0.102, 0.35, 0.167], [0.0, 0.95, 0.316], [0.073, 0.95, 0.275], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,3,3,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.6, 0.368], [0.031, 0.95, 0.632], [0.086, 0.65, 0.242], [0.102, 0.35, 0.167], [0.0, 0.95, 0.316], [0.073, 0.95, 0.275], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,4,1,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.6, 0.368], [0.031, 0.95, 0.632], [0.086, 0.65, 0.242], [0.102, 0.35, 0.167], [0.0, 0.95, 0.316], [0.073, 0.95, 0.275], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,5,6,4,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.6, 0.368], [0.031, 0.95, 0.632], [0.086, 0.65, 0.242], [0.102, 0.35, 0.167], [0.0, 0.95, 0.316], [0.073, 0.95, 0.275], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,6,8,1,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.8, 0.611], [0.031, 0.5, 0.389], [0.086, 0.0, 0.19], [0.102, 0.0, 0.194], [0.0, 0.95, 0.349], [0.073, 0.85, 0.266], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,7,4,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.8, 0.611], [0.031, 0.5, 0.389], [0.086, 0.0, 0.19], [0.102, 0.0, 0.194], [0.0, 0.95, 0.349], [0.073, 0.85, 0.266], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,8,3,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.8, 0.611], [0.031, 0.5, 0.389], [0.086, 0.0, 0.19], [0.102, 0.0, 0.194], [0.0, 0.95, 0.349], [0.073, 0.85, 0.266], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,9,1,0,<class 'model_SM_agents.ActiveAgent'>,"[[0.196, 0.05, 1.0], [0.093, 0.8, 0.611], [0.031, 0.5, 0.389], [0.086, 0.0, 0.19], [0.102, 0.0, 0.194], [0.0, 0.95, 0.349], [0.073, 0.85, 0.266], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,100,5,0,<class 'model_SM_agents.ElectorateAgent'>,
0,101,3,6,<class 'model_SM_agents.ElectorateAgent'>,
0,50,7,4,<class 'model_SM_agents.TruthAgent'>,
