Step,AgentID,x,y,Agent type,Issuetree
0,0,8,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.6, 0.352], [0.003, 0.95, 0.648], [0.103, 0.65, 0.234], [0.128, 0.35, 0.157], [0.005, 0.95, 0.316], [0.0, 0.95, 0.294], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,1,6,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.6, 0.352], [0.003, 0.95, 0.648], [0.103, 0.65, 0.234], [0.128, 0.35, 0.157], [0.005, 0.95, 0.316], [0.0, 0.95, 0.294], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,2,2,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.6, 0.352], [0.003, 0.95, 0.648], [0.103, 0.65, 0.234], [0.128, 0.35, 0.157], [0.005, 0.95, 0.316], [0.0, 0.95, 0.294], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,3,5,6,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.6, 0.352], [0.003, 0.95, 0.648], [0.103, 0.65, 0.234], [0.128, 0.35, 0.157], [0.005, 0.95, 0.316], [0.0, 0.95, 0.294], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,4,3,0,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.6, 0.352], [0.003, 0.95, 0.648], [0.103, 0.65, 0.234], [0.128, 0.35, 0.157], [0.005, 0.95, 0.316], [0.0, 0.95, 0.294], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,5,4,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.6, 0.352], [0.003, 0.95, 0.648], [0.103, 0.65, 0.234], [0.128, 0.35, 0.157], [0.005, 0.95, 0.316], [0.0, 0.95, 0.294], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,6,4,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.8, 0.589], [0.003, 0.5, 0.411], [0.103, 0.0, 0.186], [0.128, 0.0, 0.193], [0.005, 0.95, 0.341], [0.0, 0.85, 0.281], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,7,8,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.8, 0.589], [0.003, 0.5, 0.411], [0.103, 0.0, 0.186], [0.128, 0.0, 0.193], [0.005, 0.95, 0.341], [0.0, 0.85, 0.281], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,8,1,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.8, 0.589], [0.003, 0.5, 0.411], [0.103, 0.0, 0.186], [0.128, 0.0, 0.193], [0.005, 0.95, 0.341], [0.0, 0.85, 0.281], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,9,7,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.183, 0.05, 1.0], [0.113, 0.8, 0.589], [0.003, 0.5, 0.411], [0.103, 0.0, 0.186], [0.128, 0.0, 0.193], [0.005, 0.95, 0.341], [0.0, 0.85, 0.281], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,100,7,6,<class 'model_SM_agents.ElectorateAgent'>,
0,101,5,2,<class 'model_SM_agents.ElectorateAgent'>,
0,50,6,7,<class 'model_SM_agents.TruthAgent'>,
