Step,AgentID,x,y,Agent type,Issuetree
0,0,7,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.8, 0.53], [0.0, 0.5, 0.47], [0.256, 0.0, 0.196], [0.244, 0.0, 0.193], [0.0, 0.95, 0.333], [0.0, 0.85, 0.278], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,1,3,5,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.6, 0.277], [0.0, 0.95, 0.723], [0.256, 0.65, 0.196], [0.244, 0.35, 0.116], [0.0, 0.95, 0.354], [0.0, 0.95, 0.334], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,2,3,8,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.6, 0.277], [0.0, 0.95, 0.723], [0.256, 0.65, 0.196], [0.244, 0.35, 0.116], [0.0, 0.95, 0.354], [0.0, 0.95, 0.334], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,3,0,6,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.6, 0.277], [0.0, 0.95, 0.723], [0.256, 0.65, 0.196], [0.244, 0.35, 0.116], [0.0, 0.95, 0.354], [0.0, 0.95, 0.334], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,4,0,9,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.6, 0.277], [0.0, 0.95, 0.723], [0.256, 0.65, 0.196], [0.244, 0.35, 0.116], [0.0, 0.95, 0.354], [0.0, 0.95, 0.334], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,5,9,0,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.8, 0.53], [0.0, 0.5, 0.47], [0.256, 0.0, 0.196], [0.244, 0.0, 0.193], [0.0, 0.95, 0.333], [0.0, 0.85, 0.278], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,6,4,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.8, 0.53], [0.0, 0.5, 0.47], [0.256, 0.0, 0.196], [0.244, 0.0, 0.193], [0.0, 0.95, 0.333], [0.0, 0.85, 0.278], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,7,5,4,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.8, 0.53], [0.0, 0.5, 0.47], [0.256, 0.0, 0.196], [0.244, 0.0, 0.193], [0.0, 0.95, 0.333], [0.0, 0.85, 0.278], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,8,3,3,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.8, 0.53], [0.0, 0.5, 0.47], [0.256, 0.0, 0.196], [0.244, 0.0, 0.193], [0.0, 0.95, 0.333], [0.0, 0.85, 0.278], [-0.2], [0.2], [0.9], [0.9], [0.4], [0.2], [-0.75], [-0.75], [0.2], [0.2]]"
0,100,3,9,<class 'model_SM_agents.ElectorateAgent'>,
0,101,5,0,<class 'model_SM_agents.ElectorateAgent'>,
0,50,2,1,<class 'model_SM_agents.TruthAgent'>,
0,10,7,6,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.6, 0.287], [0.0, 0.95, 0.713], [0.256, 0.65, 0.164], [0.244, 0.35, 0.044], [0.0, 0.95, 0.396], [0.0, 0.95, 0.396], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75]]"
0,11,3,7,<class 'model_SM_agents.ActiveAgent'>,"[[0.126, 0.05, 1.0], [0.251, 0.6, 0.287], [0.0, 0.95, 0.713], [0.256, 0.65, 0.164], [0.244, 0.35, 0.044], [0.0, 0.95, 0.396], [0.0, 0.95, 0.396], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75], [-0.75]]"
